A Heart Attak	0	4	3	1	3	0:11	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
A L B sLauGHteR	0	63	41	4	26	0:23	5	0	0	0	0	0	60	0	2	1	0	0	3	0	0	0	0	0	0	0
a toe fungus	0	11	6	10	1	0:20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
A Zany Anchovy	0	0	14	2	0	0:12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAlpha248	0	4	9	1	0	0:10	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
abbsdude12	0	124	274	32	49	1:30	7	0	0	0	0	0	52	0	0	0	0	0	1	0	0	0	0	0	0	0
abirtar	0	75	94	22	4	0:59	2	1	0	0	0	0	13	4	23	9	0	0	3	0	0	0	0	0	0	0
absolutely noth	0	9	6	0	3	0:08	0	0	0	0	0	0	7	0	0	1	0	0	1	0	0	0	0	0	0	0
Aceric	0	3	21	0	0	0:23	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AcidRevenge666	0	0	1	0	0	0:01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acrocanthrasaur	0	23	29	7	3	0:30	4	0	0	0	0	0	0	1	3	0	1	0	1	1	0	0	0	1	2	0
Adan Dino	0	62	71	11	17	0:24	4	0	0	0	0	0	7	0	24	4	1	0	0	0	0	0	0	0	0	0
adensley	3	10	18	5	0	0:29	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	2
adisor111	0	15	25	13	4	0:08	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AE KingOfTexas	0	30	16	9	0	0:22	1	0	0	0	0	0	0	10	3	1	1	0	3	0	0	0	0	1	3	0
aequitas2110	0	0	0	0	0	0:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aeronoel	0	8	25	5	1	0:14	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ag1371	0	6	54	4	2	0:33	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	3
agentcrisp82	0	2	20	1	2	0:22	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
agruesgirl87	0	0	14	1	0	0:06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aighy	0	0	0	0	0	0:01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aimbot man	1	53	13	10	1	0:23	6	2	1	0	0	0	1	19	2	1	1	0	4	1	1	1	1	1	1	1
air monster101	0	3	5	1	0	0:15	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
AJWillliamson	0	0	0	0	0	0:01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akarichy4life	0	11	43	7	1	0:48	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	2	1	1
aks v	0	2	7	4	1	0:12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
AlbanianGamer09	0	0	0	0	0	0:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AlbinoNinja96	0	2	5	0	2	0:03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEQZ chief	0	0	2	0	0	0:12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AlertFrame	0	0	0	0	0	0:02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AlessandroMel	0	0	3	1	0	0:03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alexalex1432	0	128	69	8	58	0:43	8	0	0	0	0	0	114	0	4	6	0	0	5	1	0	0	0	0	0	0
AlexJabberwocky	0	83	151	19	4	1:10	4	0	0	0	0	0	10	11	26	10	0	0	3	0	0	0	0	0	0	0
alexrider412	0	4	4	0	0	0:10	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
alfadisanto	0	0	0	0	0	0:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alftkg	1	27	45	10	8	0:51	0	0	0	0	0	0	3	4	3	0	1	0	1	0	0	0	0	1	0	3
Alixou	0	96	71	9	35	1:08	3	0	0	0	0	0	40	2	13	5	0	0	4	0	0	0	0	0	0	0
